(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 122/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2332
Config 123/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2237
Config 124/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2365
Config 125/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2324
Config 126/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2145
Config 127/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3210
Config 128/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3211
Config 129/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3063
Config 130/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4100
Config 131/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2450
Config 132/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2380
Config 133/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2359
Config 134/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2424
Config 135/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2369
Config 136/864 | Val Accuracy: 0.3824 | Tr MSE: 0.5396
Config 137/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4730
Config 138/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4215
Config 139/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4503
Config 140/864 | Val Accuracy: 0.3824 | Tr MSE: 0.2761
Config 141/864 | Val Accuracy: 0.3824 | Tr MSE: 0.2691
Config 142/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4430
Config 143/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4970
Config 144/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3346
Config 145/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2318
Config 146/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2189
Config 147/864 | Val Accuracy: 0.6765 | Tr MSE: 0.1409
Config 148/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1976
Config 149/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2210
Config 150/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2113
Config 151/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2247
Config 152/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2068
Config 153/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0164
Config 154/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0005
Config 155/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0002
Config 156/864 | Val Accuracy: 0.6765 | Tr MSE: 0.1438
Config 157/864 | Val Accuracy: 0.8529 | Tr MSE: 0.1089
Config 158/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 159/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2550
Config 160/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 161/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0000
Config 162/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2243
Config 163/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1987
Config 164/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0065
Config 165/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0010
Config 166/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0372
Config 167/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0029
Config 168/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0005
Config 169/864 | Val Accuracy: 0.6765 | Tr MSE: 0.1708
Config 170/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0044
Config 171/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 172/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2187
Config 173/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0325
Config 174/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0039
Config 175/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2118
Config 176/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0264
Config 177/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0030
Config 178/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2079
Config 179/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2091
Config 180/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0008
Config 181/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2341
Config 182/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2279
Config 183/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2111
Config 184/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2302
Config 185/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2223
Config 186/864 | Val Accuracy: 0.5588 | Tr MSE: 0.1999
Config 187/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2244
Config 188/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2153
Config 189/864 | Val Accuracy: 0.5882 | Tr MSE: 0.1201
Config 190/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0014
Config 191/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0005
Config 192/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 193/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 194/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0002
Config 195/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0000
Config 196/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0004
Config 197/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 198/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0000
Config 199/864 | Val Accuracy: 0.5588 | Tr MSE: 0.1840
Config 200/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2158
