(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 150/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1062
Config 151/864 | Val Accuracy: 0.7083 | Tr MSE: 0.1598
Config 152/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1429
Config 153/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0737
Config 154/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0605
Config 155/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0602
Config 156/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1017
Config 157/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0604
Config 158/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0601
Config 159/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1461
Config 160/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 161/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0601
Config 162/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1097
Config 163/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1182
Config 164/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0133
Config 165/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0570
Config 166/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0616
Config 167/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0504
Config 168/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0009
Config 169/864 | Val Accuracy: 0.8333 | Tr MSE: 0.0872
Config 170/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0770
Config 171/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0604
Config 172/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2321
Config 173/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1264
Config 174/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0419
Config 175/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1269
Config 176/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1204
Config 177/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0662
Config 178/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1147
Config 179/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1082
Config 180/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0034
Config 181/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2223
Config 182/864 | Val Accuracy: 0.4583 | Tr MSE: 0.2318
Config 183/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1267
Config 184/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2208
Config 185/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1523
Config 186/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1232
Config 187/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2435
